ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
6461	-74.625	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	10.7	15.6	73.7	3	73.7
6462	-74.575	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	REMEDIOS	11.3	16.8	71.9	3	71.9
6463	-74.525	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	REMEDIOS	11.9	14.1	74.1	3	74.1
6464	-74.475	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	REMEDIOS	9.2	17.1	73.7	3	73.7
6465	-74.425	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	REMEDIOS	9.6	17.8	72.6	3	72.6
6466	-74.375	7.175	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	10	18.8	71.2	3	71.2
6467	-74.325	7.175	Sinú - San Jorge - Porce	BOLÍVAR	SAN PABLO	11.1	17.3	71.6	3	71.6
6468	-74.275	7.175	Medellín - Carare - Opón	BOLÍVAR	SAN PABLO	9.8	15.5	74.7	3	74.7
6469	-74.225	7.175	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	11.1	11	78	3	78
6470	-74.175	7.175	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	9.9	10.1	80	3	80
6471	-74.125	7.175	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	10.3	12.6	77	3	77
6472	-74.075	7.175	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	10.1	11.7	78.2	3	78.2
6473	-74.025	7.175	Medellín - Carare - Opón	ANTIOQUIA	YONDÓ	10.8	12.2	77	3	77
6474	-73.975	7.175	Medellín - Carare - Opón	ANTIOQUIA	YONDÓ	9.9	14.1	76	3	76
