ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Correlacion_Pearson	Correlacion_Spearman	Hit-Skill-Score	k-2AFC-Score	k-2AFC-Categorical	k-2AFC-Continuous	ROC-above	ROC-below
122	-72.025	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.1	0.32	-37.21	51.61	57.5	40	0.4	0.4
123	-71.975	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.06	0.3	9.3	53.6	67.5	46.67	0.47	0.47
124	-71.925	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	0.32	-58.14	55.48	50	50	0.5	0.5
125	-71.875	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
126	-71.825	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
127	-71.775	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
128	-71.725	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.09	0.21	37.21	58.14	30.49	37.8	0.38	0.38
129	-71.675	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.19	-0.1	-9.3	46.95	55	35.9	0.36	0.36
130	-71.625	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
131	-71.575	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
132	-71.525	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
133	-71.475	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	-0.03	-16.28	51.61	47.88	47.27	0.42	0.48
134	-71.425	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.06	0.13	-51.16	56.04	43.77	54.86	0.49	0.58
135	-71.375	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.18	-0.07	-37.21	47.84	48.45	45.77	0.4	0.5
136	-71.325	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.11	0	5.81	50.83	61.38	52.68	0.52	0.55
137	-71.275	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.63	-0.7	-2.33	23.81	43.4	16.29	0.11	0.19
138	-71.225	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.46	-0.6	-23.26	30.45	43.57	23.23	0.22	0.19
139	-71.175	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.53	-0.59	-2.33	30.45	45.6	22.96	0.16	0.24
140	-71.125	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.53	-0.55	-16.28	30.79	47.96	25.73	0.18	0.28
141	-72.175	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	0.31	0.4	19.77	64.01	72.59	73.92	0.74	0.77
142	-72.125	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	0.29	0.4	30.23	63.9	76	73.59	0.73	0.77
143	-72.075	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	0.42	0.5	12.79	65.34	54.36	74.48	0.76	0.75
144	-72.025	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.34	0.23	-79.07	51.5	50	6.67	0.07	0.07
145	-71.975	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.34	0.23	-79.07	51.5	50	6.67	0.07	0.07
146	-71.925	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	0.42	-30.23	54.98	11.9	11.9	0.12	0.12
147	-71.875	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
148	-71.825	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
149	-71.775	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
150	-71.725	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
151	-71.675	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
152	-71.625	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
153	-71.575	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	0	0.24	30.23	61.57	47.63	57.89	0.58	0.58
154	-71.525	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.14	-0.02	9.3	51.16	53.2	51.31	0.54	0.49
155	-71.475	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.06	0.07	2.33	52.93	58.36	52.81	0.57	0.51
156	-71.425	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.07	0.07	12.79	53.38	60.91	50.49	0.53	0.5
157	-71.375	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	0.01	0.13	2.33	54.15	60.78	56.86	0.59	0.57
158	-71.325	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.01	0.13	-30.23	55.59	61.03	57.41	0.54	0.62
159	-71.275	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.14	0.02	-37.21	52.27	53.81	48.73	0.4	0.55
160	-71.225	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.43	-0.56	-2.33	31.34	50	24.72	0.23	0.2
161	-71.175	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.56	-0.61	-9.3	29.24	45.54	22.24	0.15	0.23
162	-71.125	12.025	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.56	-0.56	2.33	30.68	47.72	23.58	0.17	0.24
163	-72.225	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	0.32	0.4	23.26	64.23	72.76	69.43	0.63	0.8
164	-72.175	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	0.23	0.36	16.28	62.02	66.61	71.99	0.7	0.78
165	-72.125	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	0.11	0.3	2.33	59.8	69.67	64.75	0.57	0.74
166	-72.075	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	0.44	0.53	30.23	67.88	54	77.11	0	0.77
167	-72.025	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.17	0.35	-79.07	55.7	51.22	17.07	0.17	0.17
168	-71.975	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
169	-71.925	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
170	-71.875	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
171	-71.825	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
172	-71.775	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
173	-71.725	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
174	-71.675	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
175	-71.625	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.27	-0.05	-44.19	49.83	48.73	44.34	0.35	0.46
176	-71.575	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.4	-0.21	-37.21	42.08	45	22.73	0.23	0.23
177	-71.525	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.19	-0.07	-30.23	49.17	50.33	42.46	0.31	0.48
178	-71.475	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.04	0.08	-9.3	53.93	54.95	51.32	0.5	0.53
179	-71.425	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.07	0.05	2.33	52.6	57.46	52.62	0.52	0.53
180	-71.375	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.06	0.05	2.33	52.16	62.58	53.15	0.5	0.57
181	-71.325	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.15	-0.07	-9.3	48.39	49.18	44.52	0.47	0.41
182	-71.275	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.1	0.03	-16.28	51.61	54.33	47.83	0.44	0.5
183	-71.225	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.71	-0.75	-2.33	22.37	50	15.26	0.07	0.18
184	-71.175	11.975	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.71	-0.78	-16.28	20.04	47.87	13.28	0.08	0.14
